Product name,Product price,Urls,Reviews count,Star
Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,$54.99,https://www.amazon.com/Introduction-Data-Science-Jeffrey-Saltz/dp/150637753X/ref=sr_1_62?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-62, 83  ,4.6
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",$35.67,https://www.amazon.com/Optimization-Data-Analysis-Stephen-Wright/dp/1316518981/ref=sr_1_63?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-63, 12  ,4.6
"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence",$41.99,https://www.amazon.com/Text-Data-Framework-Learning-Sciences/dp/0691207550/ref=sr_1_64?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-64, 65  ,4.9
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,$51.99,https://www.amazon.com/Changing-World-Order-Nations-Succeed/dp/1982160276/ref=sr_1_65?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-65, 11  ,5.0
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,$22.49,https://www.amazon.com/Business-Data-Science-Combining-Accelerate/dp/1260452778/ref=sr_1_66?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-66, 26  ,4.3
"The Data Revolution: A Critical Analysis of Big Data, Open Data and Data Infrastructures",$24.99,https://www.amazon.com/Data-Science-Beginners-Programming-Learning-ebook/dp/B0842X2C28/ref=sr_1_67?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-67, 83  ,4.5
Asking Smarter Questions: How To Be an Agent of Insight (Using Data Better),$0.00,https://www.amazon.com/Hands-Data-Science-Techniques-manipulation-ebook/dp/B07FDD1KWJ/ref=sr_1_68?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-68, 13  ,4.7
Data Modeling for Azure Data Services: Implement professional data design and structures in Azure,$19.49,https://www.amazon.com/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_69?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-69, 12  ,4.8
Data Science In The Library: Tools and Strategies for Supporting Data-Driven Research and Instruction,$25.99,https://www.amazon.com/Data-Revolution-Critical-Analysis-Infrastructures/dp/1529733758/ref=sr_1_70?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-70, 345  ,4.4
Malware Data Science: Attack Detection and Attribution,$39.99,https://www.amazon.com/Asking-Smarter-Questions-Insight-Better/dp/103211116X/ref=sr_1_71?crid=2CIKKG7G2UMAJ&keywords=data+science&qid=1658206381&s=books&sprefix=%2Cstripbooks%2C646&sr=1-71," 2,198  ",4.6
