,Nme of book,Price,Rating stars,Rating count,Link to the book
32,Python GUI Programming with PyQt: A Beginner’s Guide to Python 3 and GUI Application Development,9.95,4.1 out of 5 stars,21,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxOTA2NDY3NzUxNTQ3ODMxOjE2NjI0MTQ5ODA6c3BfYnRmOjIwMDAyNDAzOTQ2MDM2MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FPython-GUI-Programming-PyQt-Application%2Fdp%2F1650440715%2Fref%3Dsr_1_33_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414980%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-33-spons%26psc%3D1
33,Building Distributed Applications in Gin: A hands-on guide for Go developers to build and deploy distributed web apps with the Gin framework,46.99,4.4 out of 5 stars,15,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTc3NTM0MzU4ODkxMjM3OjE2NjI0MTQ5OTM6c3BfYXRmX25leHQ6MjAwMDc5MjE2MDIzMzcxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FBuilding-Distributed-Applications-Gin-hands%2Fdp%2F1801074852%2Fref%3Dsr_1_25_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414993%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-25-spons%26psc%3D1
34,"EXCEL 2022: The All In One Step-by-Step Guide From Beginner To Expert. Discover Easy Excel Tips & Tricks to Master the Essential Functions, Formulas & Shortcuts to Save Time & Simplify Your Job",17.97,4.4 out of 5 stars,155,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTc3NTM0MzU4ODkxMjM3OjE2NjI0MTQ5OTM6c3BfYXRmX25leHQ6MjAwMDMyMzQzNTI2NDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FEXCEL-2022-Step-Step-Essential%2Fdp%2FB09PHBVWCT%2Fref%3Dsr_1_26_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414993%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-26-spons%26psc%3D1
35,"Excel 2022: The Essential Guide to Excel Mastery. Learn +100 Shortcuts & Formulas. Discover Advanced Strategies & Tips to Master Datasets, Pivot Tables & Charts | With Step-by-Step Tutorials & Videos",19.99,4.9 out of 5 stars,91,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2OTc3NTM0MzU4ODkxMjM3OjE2NjI0MTQ5OTM6c3BfYXRmX25leHQ6MjAwMDgyOTMwMTQwNTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FExcel-2022-Strategies-Step-Step%2Fdp%2FB0B6LDS15N%2Fref%3Dsr_1_27_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414993%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-27-spons%26psc%3D1
36,Democracy's Data: The Hidden Stories in the U.S. Census and How to Read Them,25.49,5.0 out of 5 stars,2,https://www.amazon.com/Democracys-Data-Hidden-Stories-Census/dp/0374602549/ref=sr_1_28?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414993&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-28
37,"Python Foundation this book includes Python for beginners, Machine Learning, Python Data Science. Programming Languages + coding + Artificial Intelligence + Data Analysis + Numpy + Pandas : Python 3",0.00,0,0,https://www.amazon.com/Foundation-beginners-Programming-Artificial-Intelligence-ebook/dp/B0BC532ZZT/ref=sr_1_29?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414993&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-29
38,Storytelling with Data: A Data Visualization Guide for Business Professionals,28.49,4.6 out of 5 stars,"3,282",https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257/ref=sr_1_30?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414993&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-30
39,The StatQuest Illustrated Guide To Machine Learning,19.54,4.8 out of 5 stars,279,https://www.amazon.com/StatQuest-Illustrated-Guide-Machine-Learning/dp/B09ZCKR4H6/ref=sr_1_31?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414993&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-31
40,Exploratory Multivariate Analysis by Example Using R (Chapman & Hall/CRC Computer Science & Data Analysis),56.95,4.2 out of 5 stars,4,https://www.amazon.com/Exploratory-Multivariate-Analysis-Example-Using/dp/036765802X/ref=sr_1_32?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414993&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-32
41,Guide to Data Science: Brief Introduction to the Quirky World of Data,14.99,5.0 out of 5 stars,1,https://www.amazon.com/Guide-Data-Science-Introduction-Quirky/dp/B0B9PR49KN/ref=sr_1_33?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414993&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-33
